,text,label,Translated Text
1439,"As a character had said, we all make mistakes, what matters the most is what we do next, but in my opinion, your past still reflects who you are in some aspects and you can never erase that",possible suicidal post,"As a character had said, we all make mistakes, what matters the most is what we do next, but in my opinion, your past still reflects who you are in some aspects and you can never erase that"
1440,My eyes are raining,possible suicidal post,My eyes are raining
1441,Need somebody to stitch my heart,possible suicidal post,Need somebody to stitch my heart
1442,te j wala na akong pasok simula bukas ehem NJSD update cutiee,non-suicide,te j I'm off school starting tomorrow ahem NJSD update cutiee
1443,"ikalma mo, kyla",non-suicide,"calm down, kyla"
1444,tinanggal na pala ni ate j ibang hl niya sa ig??,non-suicide,It turns out that my sister has deleted her other hl on ig??
1445,holding it together kasi di ko pa nakikitang magmakaawa at maghabol si ryuji ??,non-suicide,holding it together because I've never seen Ryuji beg and chase??
1446,akala nyo ba madali ibudget tong pasensya ko?,non-suicide,Do you think it's easy to budget for my patience?
1447,grabe naman yung init jusmiyo sarap magbabad sa tubig lang hays,possible suicidal post,"It's really hot, you know, it's nice to just soak in the water"
1448,"wala ako sa mood makipagplastikan today, gusto ko lang matulog",possible suicidal post,"I'm not in the mood to do plastic surgery today, I just want to sleep"
1449,tatay ko naman magsisimba nalang napakadami pang mga panget na  salitang lumalabas sa bibig hays,possible suicidal post,My father just goes to church and there are so many ugly words that come out of his mouth
1450,anong sense?? nonsense lol,possible suicidal post,what sense?? nonsense lol
1451,"Yung tatay ko halos hindi na makahinga kakaubo tapos ngayon nagyoyosi nalang amp, kahit kelan di talaga di makikita yung sakripisyo ng nanay ko.",possible suicidal post,"My father could hardly breathe because he was coughing and now he is just whispering, even when he will never really see the sacrifice of my mother."
1452,"nanghihina, wala na me pera",non-suicide,"weak, I have no money"
1453,pogi panangga????,non-suicide,pogi shield????
1454,natatanging paraan para magsitigil mga lonely people ba i2,non-suicide,unique way to stop lonely people i2
1455,late na naman to bukas. Napaka aga,non-suicide,it's late again tomorrow. It's very early
1456,nag crave sa carbonara,non-suicide,craving for carbonara
1457,dnd me bye,possible suicidal post,dnd me bye
1458,kpaYn,possible suicidal post,kpaYn
1459,hayss potangina nakagraduate nga pero wala parin naman kwenta :)),possible suicidal post,"Hey, Potangina has graduated but it's still useless :))"
1460,pressure,possible suicidal post,pressure
1461,puro reklamo si tanga,possible suicidal post,the fool just complains
1462,dunno if lipat pa me huhu,non-suicide,dunno if lipat pa me huhu
1463,sayang muntikan mag suntukan kanina,non-suicide,it's a shame we almost got into a fight earlier
1464,sarap tuloy mag post ng mga old pics,non-suicide,It's nice to keep posting old pics
1465,now lang me naka encounter backstabber na lalaki,non-suicide,I just now encountered a backstabber man
1466,"anlala ampota, lalakas mag tampo hui ilang months palang tayo magkakasama",non-suicide,"anlala ampota, we will be strong and tampo hui for a few months we will be together"
1467,gusto ko peace of mind kaso life is full of shit talaga,possible suicidal post,I want peace of mind because life is really full of shit
1468,everythings too much,possible suicidal post,everythings too much
1469,nakakapagod paulit ulit nalang,possible suicidal post,it's tiring over and over again
1470,but how can u really let go of that someone whos not even urs to hold in the first place?,possible suicidal post,but how can u really let go of that someone whos not even urs to hold in the first place?
1471,nothing could kill me like YOU do.,possible suicidal post,nothing could kill me like YOU do.
1472,stop na namimiss ko lang lalo si eren,non-suicide,I just stop missing Eren more
1473,pointers to review ni nhel nakakalula huhu andami,non-suicide,pointers to nhel's review are so many
1474,papa literal na mang gugulat haahaha,non-suicide,Dad is literally going to be surprised hahaha
1475,ilang oras ko lang sinuot black shoes noong thurs di na maalis hapdi sa mga daliri ko sa paa,non-suicide,I only wore black shoes for a few hours last Thursday and the pain in my toes could not be removed
1476,"Attitude now, habol later",non-suicide,"Attitude now, habol later"
1477,"the process of trying so hard to carry urself back up agn, bcoz ure going thru the same shit uve thought ull never get to experience agn.",possible suicidal post,"the process of trying so hard to carry urself back up agn, bcoz ure going thru the same shit uve thought ull never get to experience agn."
1478,hurting them back will not heal ur pain,possible suicidal post,hurting them back will not heal ur pain
1479,"siguro kaya ako binalik ni Lord sa same situation na naranasan ko before kasi tinestest niya if ganon parin ba gagawin ko sa dati, guess what? i did it again hahahaahhaha",possible suicidal post,"maybe the Lord brought me back to the same situation I experienced before because he was testing if I would still do the same as before, guess what? I did it again hahahahahaha"
1480,wala po talaga siyang character dev tanga parin po,possible suicidal post,"He doesn't really have a character dev, he's still stupid"
1481,hirap magfocus potaaaa,possible suicidal post,it's hard to focus
1482,"nag bibreakdown ako sa pinapanood ko, hindi ko naman mahinto pota ang ganda kac",non-suicide,"I had a breakdown when I was watching, I couldn't stop it was so beautiful"
1483,"kung yung pagiging grade conscious ko ay parang tanga sa inyo, sana hindi masarap ang ulam niyo??",non-suicide,"if my being grade conscious seems stupid to you, I hope your dish is not delicious??"
1484,namiss ko tuloy ropa last s.y. kahit ganon ganon minsan hayyy,non-suicide,I missed clothes last s.y. even so so sometimes hayyy
1485,motivated mag work out si be,non-suicide,motivated mag work out si be
1486,ginagahan lalo mag reviewwwww. Makapasa sa midterm chotiieeee,non-suicide,I especially love to reviewwwwwww. Pass the midterm chotiieeee
1487,Tweeting to release my emotions,possible suicidal post,Tweeting to release my emotions
1488,i’m very disappointed w/u self ??	,possible suicidal post,i’m very disappointed w/u self ??
1489,ngayon ako yung talo hahaha iyak,possible suicidal post,now I'm the loser hahaha cry
1490,bakit naman may kapatid akong bastos at walang utang na loob akala mo kung sino,possible suicidal post,why do you think I have a rude and ungrateful brother?
1491,corner,possible suicidal post,corner
1492,me na wala pang cls 7-8 tapos gusto na bumili ng 9-10,non-suicide,I don't have cls 7-8 yet and want to buy 9-10
1493,ghosting phase manen?,non-suicide,ghosting phase manen?
1494,ang active ko ngayon huiii,non-suicide,I'm active right now huiii
1495,ayan na ang mga parcels iyak,non-suicide,there are the parcels cry
1496,minsan na lang mag usap sa etits pa nauwi??,non-suicide,just talk to etits one more time??
1497,"ano ba aasahan ko sa kapatid ko?? kasi gago nauubos pasensya ko, di man lang aware pota",possible suicidal post,"what can I expect from my brother?? because I'm running out of patience, I'm not even aware of it"
1498,pano si mama pag wala ako??!!!,possible suicidal post,what about mom when I'm not there??!!!
1499,tatay ko talaga e haha,possible suicidal post,It's really my dad haha
1500,walang uusad sa pamilya namin kapag laging ganito,possible suicidal post,nothing will progress in our family if it's always like this
1501,hays potangina,possible suicidal post,hay potangina
1502,done na isang project and hw na hindi maintindihan instruction,non-suicide,done that is a project and hw that doesn't understand instruction
1503,now lang me naka encounter backstabber na lalaki,non-suicide,I just now encountered a backstabber man
1504,someone messaged me sa ngl asking whos my crush sa classmates namin. hahahahaha nakaka offend charottt WALAAAAA,non-suicide,someone messaged me in ngl asking who is my crush among our classmates. hahahahaha it offends charottt WALAAAAA
1505,"Please, Lady of the Light. Stop the time so we can spend more and more time with each other. So I can love you longer.  Please, baby.",non-suicide,"Please, Lady of the Light. Stop the time so we can spend more and more time with each other. So I can love you longer.  Please, baby."
1506,delete mo na messenger mo te,non-suicide,delete for na messenger for the
1507,di ko na alam,possible suicidal post,I don't know
1508,pano,possible suicidal post,here
1509,pagod much,possible suicidal post,very tired
1510,"lord ikaw na magpatino, di na kaya ng powers ko, kapagod maging ate/magulang sa gago na kapatid",possible suicidal post,"Lord, please come to your senses, my powers can't take it anymore, I'm tired of being a sister/parent to a foolish brother"
1511,"tingin ko, pwede na",possible suicidal post,I think it's okay
1512,hahahaha may mga inaanak na pala ako??,non-suicide,hahahaha I already have children??
1513,"Rise up into my world, renew your definition~",non-suicide,"Rise up into my world, renew your definition~"
1514,The worst indeed,non-suicide,The worst indeed
1515,Attending 4pm F2F class be such a drag,non-suicide,Attending 4pm F2F class be such a drag
1516,"And suddenly, a once cringe song now is music once more because it reminds me of the time you sang it",non-suicide,"And suddenly, a once cringe song now is music once more because it reminds me of the time you sang it"
1517,Halaaa when po?,possible suicidal post,Halaaa when night?
1518,sorry not sorry,possible suicidal post,sorry not sorry
1519,opinion,possible suicidal post,opinion
1520,I’m losing my self,possible suicidal post,I’m losing my self
1521,Lost respect to my selffff,possible suicidal post,Lost respect to my selffff
1522,So paano gumamit ng restroom sa Starbucks? Bakit naman may pacustomer code pa tapos ayaw pa rin naman magbukas ng ilaw ??????,non-suicide,So how to use the restroom at Starbucks? Why is there a customer code and then it still doesn't want to turn on the light??????
1523,"Lahat na naiwan ko, mapa wallet, shoulder bag, tapos ngayon yung pinaschool bag ko na rin ??????",non-suicide,"Everything I left behind, map wallet, shoulder bag, and now my school bag too??????"
1524,If only youd teach me how to become exactly like you,non-suicide,If only youd teach me how to become exactly like you
1525,"It went down and down then all the way up then down again, still, Im happy with how it went",non-suicide,"It went down and down then all the way up then down again, still, Im happy with how it went"
1526,"For the first time, nakampante akong di ako bagsak sa Prelim sa Diff Eq, barely but surely BAHAHAHAHA",non-suicide,"For the first time, I was satisfied that I didn't fail the Prelim in Diff Eq, barely but surely BAHAHAHAHAHA"
1527,hirap naman maging bobo iyakin ng alas tres,possible suicidal post,it's hard to be stupid and cry at three o'clock
1528,kaumayan,possible suicidal post,kaumayan
1529,kaantok hays,possible suicidal post,sleepy hays
1530,kayaaaaaaaaaa,possible suicidal post,soaaaaaaaa
1531,wala nanaman natira for myself pero goods lang basta okay sila:)),possible suicidal post,I didn't have anything left for myself but only goods as long as they were okay:))
1532,"So this is what they call butterflies in your stomach, bruh",non-suicide,"So this is what they call butterflies in your stomach, bruh"
1533,All I needed was a single search in order to confirm something,non-suicide,All I needed was a single search in order to confirm something
1534,Most especially if its repetitive ??  - Mushoku Tensei Episode 12,non-suicide,Most especially if its repetitive ??  - Mushoku Tensei Episode 12
1535,Twice today WTH,non-suicide,Twice today WTH
1536,"Against all odds, well prevail as we always do",non-suicide,"Against all odds, well prevail as we always do"
1537,I live in a constant state of fear and misery.,possible suicidal post,I live in a constant state of fear and misery.
1538,Halos lahat ng napagusapan namin pumasok sa panaginip ko,possible suicidal post,Almost everything we talked about entered my dreams
1539,kala nyo masaya ako sobrang lungkot ko ngayon,possible suicidal post,when you were happy i am so sad now
1540,theyre gonna crucify me anyway,possible suicidal post,theyre gonna crucify me anyway
1541,petting accepted,possible suicidal post,petting accepted
1542,Its struggling to get used to it or treasuring every second of it,non-suicide,Its struggling to get used to it or treasuring every second of it
1543,"Im afraid it has started again, yet Im relieved it did",non-suicide,"Im afraid it has started again, yet Im relieved it did"
1544,"Youre still my best, afterall",non-suicide,"Youre still my best, afterall"
1545,"Wala na talagang natutuloy na plano ko sa buhay, tapos yung mga biglaan pa yung nangyayari, pero masaya HAHAHAHAHAHA",non-suicide,"I don't really have any plans in life anymore, then the sudden things happen, but it's fun HAHAHAHAHAHA"
1546,Funny how Im on a lookout for it these past few days only for it to present itself to me and catching me off-guard,non-suicide,Funny how Im on a lookout for it these past few days only for it to present itself to me and catching me off-guard
1547,In another life i will be happy,possible suicidal post,In another life i will be happy
1548,I wish you where here to support,possible suicidal post,I wish you where here to support
1549,Take away everything from me,possible suicidal post,Take away everything from me
1550,Nasaktan ako sobra sa sinabi mo,possible suicidal post,I was hurt too much by what you said
1551,hirap,possible suicidal post,hard
1552,Ill definitely miss it,non-suicide,Ill definitely miss it
1553,Thats such a weird dream Ive had of you. I dont even know why you are there and what the me is doing and feeling in that dream,non-suicide,Thats such a weird dream Ive had of you. I dont even know why you are there and what the me is doing and feeling in that dream
1554,Thats 4 times in a row. I wonder what that means,non-suicide,Thats 4 times in a row. I wonder what that means
1555,Genshin just gave me the worst Abyss experience ever. Why the heck does one enemy need three different elements to defeat? Just why? ??,non-suicide,Genshin just gave me the worst Abyss experience ever. Why the heck does one enemy need three different elements to defeat? Just why? ??
1556,"When it comes to things I have to remember, I just cant. On the other hand, I cant not remember things I want to forget, smh",non-suicide,"When it comes to things I have to remember, I just cant. On the other hand, I cant not remember things I want to forget, smh"
1557,wow ganda ng mga sub ngayong sem halatang wala akong karapatan mag pahinga,possible suicidal post,"wow, the subs are great this sem, obviously I have no right to rest"
1558,sige kape hangang hindi namamatay,possible suicidal post,go ahead and drink coffee until you die
1559,alam ko namang kakayanin ko pero syempre iiyak muna ako,possible suicidal post,I know I can handle it but of course I will cry first
1560,a looooooOooong hug is needed.,possible suicidal post,a looooooOooong hug is needed.
1561,acad break pls!!!,possible suicidal post,acad break pls!!!
1562,My dreams havent done anything but scare me nowadays,non-suicide,My dreams havent done anything but scare me nowadays
1563,"No matter what may come, being the RL that I am, I will always greet it with a smile and enthusiasm ??",non-suicide,"No matter what may come, being the RL that I am, I will always greet it with a smile and enthusiasm ??"
1564,"The longer I delay, the longer I can hold on to the blind hope that I can stay. I want to, but perhaps a new chapter has already been written for me to take part on.",non-suicide,"The longer I delay, the longer I can hold on to the blind hope that I can stay. I want to, but perhaps a new chapter has already been written for me to take part on."
1565,"They say, the sooner the better, but Id say thats not always the case. Learning things sooner wont really make it easier and faster to accept it.",non-suicide,"They say, the sooner the better, but Id say thats not always the case. Learning things sooner wont really make it easier and faster to accept it."
1566,Love of my life,non-suicide,Love of my life
1567,"The rain be angel in disguise. Hindi na nga makababa ng hagdan, paano pa kaya kung magbike ??",non-suicide,"The rain is an angel in disguise. Can't go down the stairs anymore, how about riding a bike??"
1568,"GgEz gym. Enjoy now, iyak later sa sobrang sakit ng katawan",non-suicide,"GgEz gym. Enjoy now, cry later because the body hurts so much"
1569,My dreams either show me what I love or what I fear the most,non-suicide,My dreams either show me what I love or what I fear the most
1570,I am not yet prepared and will never be prepared for that to happen,non-suicide,I am not yet prepared and will never be prepared for that to happen
1571,"You be gone for 5 days, even ran an errand yet didnt even said your goodbye before you go. Meh as if I care that much either way",non-suicide,"You be gone for 5 days, even ran an errand yet didnt even said your goodbye before you go. Meh as if I care that much either way"
1572,"He be gone for 5 days, even made me do an errand for him yet he didnt even said his goodbye before he went. Meh as if I care that much",non-suicide,"He be gone for 5 days, even made me do an errand for him yet he didnt even said his goodbye before he went. Meh as if I care that much"
1573,Pool Frisbee would never be this fun if its not with them,non-suicide,Pool Frisbee would never be this fun if its not with them
1574,Another day well spent with the homies ??,non-suicide,Another day well spent with the homies ??
1575,"Vibes are realized and noticed. I can feel when you dont care for me, I can feel when you dont like me 4real, I can feel everything. I can feel when the energy is forced so we dont have to pretend. I rather not...I can love you and care for you from a distance. Normalize (1/2)",non-suicide,"Vibes are realized and noticed. I can feel when you dont care for me, I can feel when you dont like me 4real, I can feel everything. I can feel when the energy is forced so we dont have to pretend. I rather not...I can love you and care for you from a distance. Normalize (1/2)"
1576,I knew I shouldnt play those songs yet I still did. Now Im filled with conflicting emotions again,non-suicide,I knew I shouldnt play those songs yet I still did. Now Im filled with conflicting emotions again
1577,Love is such a roller coaster ride,non-suicide,Love is such a roller coaster ride
1578,"I guess 8 days is all it takes if you know what youre doing. The past me took 3 months, LMFAO",non-suicide,"I guess 8 days is all it takes if you know what youre doing. The past me took 3 months, LMFAO"
1579,"Not a person, not an animal, but a thing. A thing thats kept me sane during the whole time of pandemic",non-suicide,"Not a person, not an animal, but a thing. A thing thats kept me sane during the whole time of pandemic"
1580,Stories about friendships always give me goosebumps the most,non-suicide,Stories about friendships always give me goosebumps the most
1581,"Pag hindi na talaga bumukas nanaman PC ko, magcacry ako",non-suicide,"When my PC won't turn on at all, I cry"
1582,gusto ko na matulog pero parang di ko deserve kahit pumikit hahahahaba,possible suicidal post,I want to sleep but I don't feel like I deserve to even close my eyes hahahaha
1583,syimpre magrrant nanamn ako kasi di ko masolve yung prob potangjna hahahahahauwbxwknx kbye,possible suicidal post,Of course I'm going to complain because I can't solve the problem hahahahahaauwbxwknx kbye
1584,babaw mo  haha mamaya na,possible suicidal post,you're shallow haha ​​it's later
1585,potangina talaga,possible suicidal post,really potangina
1586,tanginang buhay to,possible suicidal post,only life
1587,"Grabe namang kidlat yan, 1 weeks worth ata yun eh, kala mo may nag air bombing",non-suicide,"That's a lot of lightning, that's 1 weeks worth, when you have air bombing"
1588,When shall me meet again after parting? For life is like the morning dew.  -Hanachirusato,non-suicide,When shall me meet again after parting? For life is like the morning dew.  -Hanachirusato
1589,"It all went to drain once more, buti nalang nagpapakaresilient na tayo kunyare",non-suicide,"It all went to drain once more, it's good that we are becoming more resilient"
1590,I hope it never ends,non-suicide,I hope it never ends
1591,"Twitter umayos ka, saya-saya ko tinatype tweet ko tapos magfoforce close ka bigla, balik mo tinype ko, HAHAHAHAHA",non-suicide,"Twitter fix it, I was having fun typing my tweet and then you force close suddenly, go back to my typing, HAHAHAHAHA"
1592,wala akong masabi,possible suicidal post,I'm speechless
1593,pano nga ba mag open up?,possible suicidal post,how to open up?
1594,onting appreciation man lang :))),possible suicidal post,at least some appreciation :)))
1595,kelan ba naging enough sainyo mga ginagawa ko???,possible suicidal post,when did what I do become enough for you???
1596,napaka hina ng katawan ko nakakainis,possible suicidal post,my body is so weak it's annoying
1597,Its fun to wander through the alphabet with you to tell you what you mean to me~  -Chevy,non-suicide,Its fun to wander through the alphabet with you to tell you what you mean to me~  -Chevy
1598,"The second I woke up, an earthquake happened, nice",non-suicide,"The second I woke up, an earthquake happened, nice"
1599,"How did I even forget that it is with you that I got to meet some of the best people of my life, and even better, the best freaking friend in this entire universe",non-suicide,"How did I even forget that it is with you that I got to meet some of the best people of my life, and even better, the best freaking friend in this entire universe"
1600,My dreams do be satisfying inner child by giving me the superpower I like the most HAHAHAHAHAHAHAHA,non-suicide,My dreams do be satisfying inner child by giving me the superpower I like the most HAHAHAHAHAHAHAHA
1601,"AAAAAAAAAAAA so precious indeed, I hope you could just be like that",non-suicide,"AAAAAAAAAAAA so precious indeed, I hope you could just be like that"
1602,hindi ko alam anong pahinga gagawin ko para matapos na lahat to,possible suicidal post,I don't know what kind of break I'll take to end it all
1603,physically and emotionally tired,possible suicidal post,physically and emotionally tired
1604,"lorddd, hindi nga po ko isa sa mmga strongest soldier mo",possible suicidal post,"lorddd, I'm not one of your strongest soldiers"
1605,kung ano ano nangyayari sa buhay ko lately,possible suicidal post,what's going on in my life lately
1606,nasusuka ako pag nabubusog,possible suicidal post,I feel sick when I'm full
1607,"How I wish to be there to protect you, as much as youve been here for me",non-suicide,"How I wish to be there to protect you, as much as youve been here for me"
1608,I really went from being fan of romance shows into action shows nowadays,non-suicide,I really went from being fan of romance shows into action shows nowadays
1609,"Snake Eyes do be my favorite movie from now on. I can watch it all day, oh my Lord",non-suicide,"Snake Eyes do be my favorite movie from now on. I can watch it all day, oh my Lord"
1610,At least I did discover something good I normally wouldnt during my time at my Titas house,non-suicide,At least I did discover something good I normally wouldnt during my time at my Titas house
1611,I wish I could tell you how the MC on the show I am watching looks like your brother,non-suicide,I wish I could tell you how the MC on the show I am watching looks like your brother
1612,"sana friend mo nalang ako, para may oras ka din sakin",possible suicidal post,"I hope I'm just your friend, so you can have time for me too"
1613,Kawawa sayo doble pagod.,possible suicidal post,"Poor you, double tired."
1614,Matulog nalang ng matulog,possible suicidal post,Just sleep and sleep
1615,"ang bobo ko, opo.",possible suicidal post,"I'm stupid, yes."
1616,Alam mo yung feeling na bawat pihit mo ng katawan mo may tumutunog na buto huhu,possible suicidal post,You know the feeling that every time you turn your body there is a ringing bone huhu
1617,Karaoke session with cousins sheeesh,non-suicide,Karaoke session with cousins sheeesh
1618,"Yung beach vacation na nauwi sa house staycation dahil sa nonstop na ulan, kagalengg ????",non-suicide,"The beach vacation that turned into a house staycation because of the nonstop rain, how cool????"
1619,"With a healthy family, you also get a healthy mindset, something I lack",non-suicide,"With a healthy family, you also get a healthy mindset, something I lack"
1620,anlakas na ng ulan buti tapos na muna prusisyon,non-suicide,"it's raining heavily, but the procession is over first"
1621,aga aga ang harot ng person na ituu,non-suicide,morning morning the person ituu is annoying
1622,mas magaan ang lahat nung andito ka :))),possible suicidal post,everything was easier when you were here :)))
1623,"ang daling tulungan ng iba, pero ang hirap tulungan ng sarili ",possible suicidal post,"it's easy to help others, but it's hard to help yourself"
1624,saksakin niyo nga ko,possible suicidal post,stab me
1625,kaso nawala ka agad,possible suicidal post,case you disappeared immediately
1626,may part sakin na namimiss ka :((,possible suicidal post,there's a part of me that misses you :((
1627,Di ko na sya masisilayan hahaha,non-suicide,I can't look at him anymore hahaha
1628,rapsa nanaman 4days alang pasok hehe,non-suicide,It's about 4 days for school hehe
1629,me most of the time ???????,non-suicide,me most of the time ???????
1630,"??Camp Kainomayan - Botolan, Zambales",non-suicide,"??Camp Kainomayan - Botolan, Zambales"
1631,nakakaexcite ng friday ngayon ala kasing pasok tomorrow haha,non-suicide,"today's friday is exciting, it's like school tomorrow haha"
1632,nakakainis kayong lahat period,possible suicidal post,you're all annoying period
1633,yawq na invite mo na ko sa bday mo Lordd,possible suicidal post,yawq you invited me to your bday Lordd
1634,hindi ko alam bat ako nasasaktan,possible suicidal post,I don't know if I'm hurt
1635,bakit ang lungkot naiiyak ako potaaa,possible suicidal post,Why is sadness making me cry?
1636,GUSTO KO NA NAMAN MAGDEACT WTF ,possible suicidal post,I WANT TO DEACT AGAIN WTF
1637,when someone says to me i bought this because i know that you like it,non-suicide,when someone says to me i bought this because i know that you like it
1638,its me and my procastination against the world,non-suicide,its me and my procastination against the world
1639,10hrs of sleep ngayon araw bawing bawi yung puyat kagabi haha,non-suicide,10hrs of sleep today to make up for last night's sleep haha
1640,Time checked: 4:25 AM  Kauwi lang ng mautong accla HAHAHAAH salamat @Adadieee pinakilig mo kami kanina pero literal na inumaga kami ng uwi dahil alang masakyan awit HAAHAHAHAH #AdieInZambales #DinamulagFestival2023,non-suicide,Time checked: 4:25 AM Just got home from the moutong accla HAHAHAAH thank you @Adadieee you thrilled us earlier but we literally had to go home in the morning because it was a ride song HAAHAHAHAH #AdieInZambales #DinamulagFestival2023
1641,may mga pinsan talaga tayo na mas kilig pa sa lovelife natin ??,non-suicide,do we really have cousins ​​who are more excited than our love life??
1642,Ayaw tumigil ng utak ko kakaisip,possible suicidal post,My brain doesn't want to stop thinking
1643,Sakit na ng ulo ko kakatulog,possible suicidal post,I have a headache when I fall asleep
1644,Lol Ive been doing nothing since morning,possible suicidal post,Lol Ive been doing nothing since morning
1645,Not in a mood to do anything,possible suicidal post,Not in a mood to do anything
1646,Grabe naman kasama kong nagpapatugtog mlaungkot ata,possible suicidal post,It's really sad to play with me
1647,"mute muna tayo ng notifs sa messenger jusko as of today, di na natigil messages ng mga students hahaha di na po office hours i have a life too po??",non-suicide,"Let's first mute notifications on messenger just as of today, messages from students are no longer stopped hahaha it's not office hours anymore I have a life too po??"
1648,buti pa nanay ko magbabaguio!! awit maiwan akoooo,non-suicide,"I'm still a good mom, I'm going to change!! song leave me"
1649,naol pupuntang baguio ??,non-suicide,naol going to baguio??
1650,"ewww, pinapangatawan pagiging toxic! HAHAHAHHA",non-suicide,"ewww, being toxic is represented! HAHAHAHA"
1651,"yabang naman nong story ni alexis, humble lang tayo be HAHAHAHHA",non-suicide,"Alexis' story is arrogant, let's just be humble HAHAHAHHA"
1652,"pero ginusto ko to, kaya papanindigan kooo",possible suicidal post,"but I like it, so I'll stand by it"
1653,ewan ko ba naman sainyo bakit kayo ganyan,possible suicidal post,I don't know why you are like that
1654,will never be a backburner girl again :)),possible suicidal post,will never be a backburner girl again :))
1655,been strong for so long,possible suicidal post,been strong for so long
1656,nalulungkot ako hahahaaha,possible suicidal post,I'm sad hahahaha
1657,BASTA DESERVE KO MAG SAMGYUP!,non-suicide,AS LONG AS I DESERVE TO BE SAMGYUP!
1658,"red flag, di nasunod sa time huhuhu. Chariz, basta po akin na to ha HAHAHAH",non-suicide,"red flag, it was not followed on time huhuhu. Chariz, it's all mine HAHAHAH"
1659,sa’kin na po ‘to please! ??,non-suicide,it's mine please! ??
1660,gandang ganda ako sa bag ko from Parisian ahahahah,non-suicide,I look beautiful in my bag from Parisian ahahahah
1661,claiming na agad! ????,non-suicide,claiming now! ????
1662,Aight natanggal ko na mabigat na pakiramdam,possible suicidal post,Aight I got rid of that heavy feeling
1663,I live in a constant state of fear and misery.,possible suicidal post,I live in a constant state of fear and misery.
1664,Gusto kong sumaya,possible suicidal post,I want to have fun
1665,Nanghihina ako,possible suicidal post,I feel weak
1666,Wala ako sa mood sa lahat ngayon,possible suicidal post,I'm not in the mood at all right now
1667,"naks, discounted me here sa sm dahil sa philhealth hahahaha",non-suicide,"naks, I am discounted here in sm because of philhealth hahahaha"
1668,mojitos tapos yelo lang! pero feeling ko mapapa night gala ako sa panglao,non-suicide,mojitos then just ice! but I feel like I'm going to be a night wanderer in Laos
1669,Amazing ??,non-suicide,Amazing ??
1670,dapt talaga nag cubao na lang ako,non-suicide,I really should have just gone to Cubao
1671,"katakot naman iyong bomb threat na yon, hindi kasi malabo lalo na from japan ??",non-suicide,"That bomb threat is scary, isn't it vague especially from Japan??"
1672,"kakaparinig saakin na kelangan ko nang magtrabaho para magkasilbi ako, mas lalo akong nawawalan ng gana mabuhay",possible suicidal post,"When you hear me saying that I need to work to make ends meet, I lose the will to live even more"
1673,grabe yung discrimination and insults na natanggap ko today hahahahaha,possible suicidal post,The discrimination and insults I received today were terrible hahahahaha
1674,"Nanay di ako pagod sayo haa, bobo lang talaga utak ko ngayon.",possible suicidal post,"Mom, I'm not tired of you, my brain is just really stupid right now."
1675,sentimental pero feeling ko oa lang,possible suicidal post,sentimental but I feel okay
1676,"sobrang babaw, pero nalulunod kssksj",possible suicidal post,"very shallow, but drowning kssksj"
1677,true friends talaga!,non-suicide,true friends indeed!
1678,"grabe naman ‘yong barko, apaka ingay",non-suicide,"That ship is terrible, it's so noisy"
1679,NORMALIZE CHANGING YOUR OPINION ON SOMETHING AFTER LEARNING NEW INFORMATION. ITS OKAY. I PROMISE.,non-suicide,NORMALIZE CHANGING YOUR OPINION ON SOMETHING AFTER LEARNING NEW INFORMATION. ITS OKAY. I PROMISE.
1680,"Having money, as a woman, is sooooo important.",non-suicide,"Having money, as a woman, is sooooo important."
1681,u are suddenly the bad person when u return the same energy.,non-suicide,u are suddenly the bad person when u return the same energy.
1682,Emergency!!!,possible suicidal post,Emergency!!!
1683,Sakit ng tiyan ko!,possible suicidal post,My stomach hurts!
1684,Sakit mg ulo ko,possible suicidal post,I have a headache
1685,Sipon lubayan moko!,possible suicidal post,Catch a cold!
1686,Sakit ng katawan ko !,possible suicidal post,My body hurts !
1687,duda talaga if ma home sick ako. ganiyang ugali ba naman ipakita sakin :)))),non-suicide,I really doubt if I will be home sick. show me that kind of behavior :))))
1688,"Luffy as my wallpaper brings so much positive aura, his smile ??????",non-suicide,"Luffy as my wallpaper brings so much positive aura, his smile ??????"
1689,"nakaka tibo naman tong babae sa jeep, hawig ni Miss Janine De Leon",non-suicide,"that woman in the jeep is really hot, she looks like Miss Janine De Leon"
1690,hala male late pa nga,non-suicide,married late pa nga
1691,"barisara pa sa ilog, ayan puro gas gas sa kamay",non-suicide,"next to the river, there is gas gas in hand"
1692,grabeng 2nd sem toh parang wala akong karapatang mabuhay nang masaya,possible suicidal post,terrible 2nd sem it seems like I don't have the right to live happily
1693,ewan ko potAaaaa,possible suicidal post,I don't know
1694,PAGOD NA PAGOD NA PAGOD NA Q!!!!!,possible suicidal post,TIRED TIRED TIRED Q!!!!!
1695,nothings new,possible suicidal post,nothings new
1696,life is really tough ,possible suicidal post,life is really tough
1697,bakit parang namamaga naman na katawan ko dahil sa kape na ‘yon? ??????,non-suicide,why does my body feel swollen because of that coffee? ??????
1698,hay buhay,non-suicide,hi life
1699,There will be a night of long knives in the House tonight,non-suicide,There will be a night of long knives in the House tonight
1700,"benta ko na ata plantsa buhok ko, palitan ko curler heheheh",non-suicide,"I sold my hair straightener, I'll replace it with a curler heheheh"
