,text,Translated Text,Cleaned Text,label
1447,"nanghihina, wala na me pera","weak, I have no money",weak no money,Non-Suicide
1448,pogi panangga????,pogi shield????,pogi shield,Non-Suicide
1449,natatanging paraan para magsitigil mga lonely people ba i2,unique way to stop lonely people i2,unique way stop lonely people,Non-Suicide
1450,late na naman to bukas. Napaka aga,it's late again tomorrow. It's very early,late tomorrow very early,Non-Suicide
1451,nag crave sa carbonara,craving for carbonara,crave carbonara,Non-Suicide
1452,dnd me bye,dnd me bye,dnd bye,Possible Suicidal Post
1453,kpaYn,kpaYn,kpayn,Possible Suicidal Post
1454,hayss potangina nakagraduate nga pero wala parin naman kwenta :)),"Hey, Potangina has graduated but it's still useless :))",hey potangina graduate still useless,Possible Suicidal Post
1455,pressure,pressure,pressure,Possible Suicidal Post
1456,puro reklamo si tanga,the fool just complains,fool complains,Possible Suicidal Post
1457,dunno if lipat pa me huhu,dunno if lipat pa me huhu,dunno lipat pa huhu,Non-Suicide
1458,sayang muntikan mag suntukan kanina,it's a shame we almost got into a fight earlier,shame almost get fight earlier,Non-Suicide
1459,sarap tuloy mag post ng mga old pics,It's nice to keep posting old pics,nice keep post old pic,Non-Suicide
1460,now lang me naka encounter backstabber na lalaki,I just now encountered a backstabber man,encounter backstabber man,Non-Suicide
1461,"anlala ampota, lalakas mag tampo hui ilang months palang tayo magkakasama","anlala ampota, we will be strong and tampo hui for a few months we will be together",anlala ampota strong tampo hui few month together,Non-Suicide
1462,gusto ko peace of mind kaso life is full of shit talaga,I want peace of mind because life is really full of shit,want peace mind because life really full shit,Possible Suicidal Post
1463,everythings too much,everythings too much,everythings much,Possible Suicidal Post
1464,nakakapagod paulit ulit nalang,it's tiring over and over again,tire over over,Possible Suicidal Post
1465,but how can u really let go of that someone whos not even urs to hold in the first place?,but how can u really let go of that someone whos not even urs to hold in the first place?,how really let go someone whos not even urs hold first place,Possible Suicidal Post
1466,nothing could kill me like YOU do.,nothing could kill me like YOU do.,nothing kill like,Possible Suicidal Post
1467,stop na namimiss ko lang lalo si eren,I just stop missing Eren more,stop miss eren more,Non-Suicide
1468,pointers to review ni nhel nakakalula huhu andami,pointers to nhel's review are so many,pointer nhel review many,Non-Suicide
1469,papa literal na mang gugulat haahaha,Dad is literally going to be surprised hahaha,dad literally go surprised hahaha,Non-Suicide
1470,ilang oras ko lang sinuot black shoes noong thurs di na maalis hapdi sa mga daliri ko sa paa,I only wore black shoes for a few hours last Thursday and the pain in my toes could not be removed,only wear black shoe few hour last thursday pain toe not remove,Non-Suicide
1471,"Attitude now, habol later","Attitude now, habol later",attitude habol later,Non-Suicide
1472,"the process of trying so hard to carry urself back up agn, bcoz ure going thru the same shit uve thought ull never get to experience agn.","the process of trying so hard to carry urself back up agn, bcoz ure going thru the same shit uve thought ull never get to experience agn.",process try hard carry urself back up agn bcoz ure go thru shit uve think ull never get experience agn,Possible Suicidal Post
1473,hurting them back will not heal ur pain,hurting them back will not heal ur pain,hurt back not heal ur pain,Possible Suicidal Post
1474,"siguro kaya ako binalik ni Lord sa same situation na naranasan ko before kasi tinestest niya if ganon parin ba gagawin ko sa dati, guess what? i did it again hahahaahhaha","maybe the Lord brought me back to the same situation I experienced before because he was testing if I would still do the same as before, guess what? I did it again hahahahahaha",maybe lord bring back situation experience before because test still before guess what hahahahahaha,Possible Suicidal Post
1475,wala po talaga siyang character dev tanga parin po,"He doesn't really have a character dev, he's still stupid",not really character dev still stupid,Possible Suicidal Post
1476,hirap magfocus potaaaa,it's hard to focus,hard focus,Possible Suicidal Post
1477,"nag bibreakdown ako sa pinapanood ko, hindi ko naman mahinto pota ang ganda kac","I had a breakdown when I was watching, I couldn't stop it was so beautiful",breakdown watch not stop beautiful,Non-Suicide
1478,"kung yung pagiging grade conscious ko ay parang tanga sa inyo, sana hindi masarap ang ulam niyo??","if my being grade conscious seems stupid to you, I hope your dish is not delicious??",grade conscious seem stupid hope dish not delicious,Non-Suicide
1479,namiss ko tuloy ropa last s.y. kahit ganon ganon minsan hayyy,I missed clothes last s.y. even so so sometimes hayyy,miss clothes last even sometimes hayyy,Non-Suicide
1480,motivated mag work out si be,motivated mag work out si be,motivate mag work out si,Non-Suicide
1481,ginagahan lalo mag reviewwwww. Makapasa sa midterm chotiieeee,I especially love to reviewwwwwww. Pass the midterm chotiieeee,especially love reviewwww pas midterm chotiieeee,Non-Suicide
1482,Tweeting to release my emotions,Tweeting to release my emotions,tweet release emotion,Possible Suicidal Post
1483,"i’m very disappointed w/u self ??	",i’m very disappointed w/u self ??,very disappointed self,Possible Suicidal Post
1484,ngayon ako yung talo hahaha iyak,now I'm the loser hahaha cry,loser hahaha cry,Possible Suicidal Post
1485,bakit naman may kapatid akong bastos at walang utang na loob akala mo kung sino,why do you think I have a rude and ungrateful brother?,why think rude ungrateful brother,Possible Suicidal Post
1486,corner,corner,corner,Possible Suicidal Post
1487,me na wala pang cls 7-8 tapos gusto na bumili ng 9-10,I don't have cls 7-8 yet and want to buy 9-10,not cls yet want buy,Non-Suicide
1488,ghosting phase manen?,ghosting phase manen?,ghost phase manen,Non-Suicide
1489,ang active ko ngayon huiii,I'm active right now huiii,active right huiii,Non-Suicide
1490,ayan na ang mga parcels iyak,there are the parcels cry,parcel cry,Non-Suicide
1491,minsan na lang mag usap sa etits pa nauwi??,just talk to etits one more time??,talk etits one more time,Non-Suicide
1492,"ano ba aasahan ko sa kapatid ko?? kasi gago nauubos pasensya ko, di man lang aware pota","what can I expect from my brother?? because I'm running out of patience, I'm not even aware of it",what expect brother because run out patience not even aware,Possible Suicidal Post
1493,pano si mama pag wala ako??!!!,what about mom when I'm not there??!!!,what mom not,Possible Suicidal Post
1494,tatay ko talaga e haha,It's really my dad haha,really dad haha,Possible Suicidal Post
1495,walang uusad sa pamilya namin kapag laging ganito,nothing will progress in our family if it's always like this,nothing progress family always like,Possible Suicidal Post
1496,hays potangina,hay potangina,hay potangina,Possible Suicidal Post
1497,done na isang project and hw na hindi maintindihan instruction,done that is a project and hw that doesn't understand instruction,do project hw not understand instruction,Non-Suicide
1498,now lang me naka encounter backstabber na lalaki,I just now encountered a backstabber man,encounter backstabber man,Non-Suicide
1499,someone messaged me sa ngl asking whos my crush sa classmates namin. hahahahaha nakaka offend charottt WALAAAAA,someone messaged me in ngl asking who is my crush among our classmates. hahahahaha it offends charottt WALAAAAA,someone message ngl ask who crush among classmate hahahahaha offend charottt walaaaaa,Non-Suicide
1500,"Please, Lady of the Light. Stop the time so we can spend more and more time with each other. So I can love you longer.  Please, baby.","Please, Lady of the Light. Stop the time so we can spend more and more time with each other. So I can love you longer.  Please, baby.",please lady light stop time spend more more time love long please baby,Non-Suicide
1501,delete mo na messenger mo te,delete for na messenger for the,delete na messenger,Non-Suicide
1502,di ko na alam,I don't know,not know,Possible Suicidal Post
1504,pagod much,very tired,very tired,Possible Suicidal Post
1505,"lord ikaw na magpatino, di na kaya ng powers ko, kapagod maging ate/magulang sa gago na kapatid","Lord, please come to your senses, my powers can't take it anymore, I'm tired of being a sister/parent to a foolish brother",lord please come sens power not take anymore tire sister parent foolish brother,Possible Suicidal Post
1506,"tingin ko, pwede na",I think it's okay,think okay,Possible Suicidal Post
1507,hahahaha may mga inaanak na pala ako??,hahahaha I already have children??,hahahaha already child,Non-Suicide
1508,"Rise up into my world, renew your definition~","Rise up into my world, renew your definition~",rise up world renew definition,Non-Suicide
1509,The worst indeed,The worst indeed,bad indeed,Non-Suicide
1510,Attending 4pm F2F class be such a drag,Attending 4pm F2F class be such a drag,attend pm class drag,Non-Suicide
1511,"And suddenly, a once cringe song now is music once more because it reminds me of the time you sang it","And suddenly, a once cringe song now is music once more because it reminds me of the time you sang it",suddenly once cringe song music once more because remind time sing,Non-Suicide
1512,Halaaa when po?,Halaaa when night?,halaaa night,Possible Suicidal Post
1513,sorry not sorry,sorry not sorry,sorry not sorry,Possible Suicidal Post
1514,opinion,opinion,opinion,Possible Suicidal Post
1515,I’m losing my self,I’m losing my self,lose self,Possible Suicidal Post
1516,Lost respect to my selffff,Lost respect to my selffff,lose respect selffff,Possible Suicidal Post
1517,So paano gumamit ng restroom sa Starbucks? Bakit naman may pacustomer code pa tapos ayaw pa rin naman magbukas ng ilaw ??????,So how to use the restroom at Starbucks? Why is there a customer code and then it still doesn't want to turn on the light??????,how use restroom starbucks why customer code still not want turn light,Non-Suicide
1518,"Lahat na naiwan ko, mapa wallet, shoulder bag, tapos ngayon yung pinaschool bag ko na rin ??????","Everything I left behind, map wallet, shoulder bag, and now my school bag too??????",everything leave behind map wallet shoulder bag school bag,Non-Suicide
1519,If only youd teach me how to become exactly like you,If only youd teach me how to become exactly like you,only youd teach how become exactly like,Non-Suicide
1520,"It went down and down then all the way up then down again, still, Im happy with how it went","It went down and down then all the way up then down again, still, Im happy with how it went",go down down all way up down still im happy how go,Non-Suicide
1521,"For the first time, nakampante akong di ako bagsak sa Prelim sa Diff Eq, barely but surely BAHAHAHAHA","For the first time, I was satisfied that I didn't fail the Prelim in Diff Eq, barely but surely BAHAHAHAHAHA",first time satisfied not fail prelim diff eq barely surely bahahahahaha,Non-Suicide
1522,hirap naman maging bobo iyakin ng alas tres,it's hard to be stupid and cry at three o'clock,hard stupid cry three clock,Possible Suicidal Post
1523,kaumayan,kaumayan,kaumayan,Possible Suicidal Post
1524,kaantok hays,sleepy hays,sleepy hay,Possible Suicidal Post
1525,kayaaaaaaaaaa,soaaaaaaaa,soaaaaaaaa,Possible Suicidal Post
1526,wala nanaman natira for myself pero goods lang basta okay sila:)),I didn't have anything left for myself but only goods as long as they were okay:)),not anything leave only good long okay,Possible Suicidal Post
1527,"So this is what they call butterflies in your stomach, bruh","So this is what they call butterflies in your stomach, bruh",what call butterfly stomach bruh,Non-Suicide
1528,All I needed was a single search in order to confirm something,All I needed was a single search in order to confirm something,all need single search order confirm something,Non-Suicide
1529,Most especially if its repetitive ??  - Mushoku Tensei Episode 12,Most especially if its repetitive ??  - Mushoku Tensei Episode 12,most especially repetitive mushoku tensei episode,Non-Suicide
1530,Twice today WTH,Twice today WTH,twice today wth,Non-Suicide
1531,"Against all odds, well prevail as we always do","Against all odds, well prevail as we always do",against all odds well prevail always,Non-Suicide
1532,I live in a constant state of fear and misery.,I live in a constant state of fear and misery.,live constant state fear misery,Possible Suicidal Post
1533,Halos lahat ng napagusapan namin pumasok sa panaginip ko,Almost everything we talked about entered my dreams,almost everything talk enter dream,Possible Suicidal Post
1534,kala nyo masaya ako sobrang lungkot ko ngayon,when you were happy i am so sad now,happy sad,Possible Suicidal Post
1535,theyre gonna crucify me anyway,theyre gonna crucify me anyway,theyre gon na crucify anyway,Possible Suicidal Post
1536,petting accepted,petting accepted,petting accept,Possible Suicidal Post
1537,Its struggling to get used to it or treasuring every second of it,Its struggling to get used to it or treasuring every second of it,struggle get use treasure every second,Non-Suicide
1538,"Im afraid it has started again, yet Im relieved it did","Im afraid it has started again, yet Im relieved it did",im afraid start yet im relieve,Non-Suicide
1539,"Youre still my best, afterall","Youre still my best, afterall",youre still best afterall,Non-Suicide
1540,"Wala na talagang natutuloy na plano ko sa buhay, tapos yung mga biglaan pa yung nangyayari, pero masaya HAHAHAHAHAHA","I don't really have any plans in life anymore, then the sudden things happen, but it's fun HAHAHAHAHAHA",not really plan life anymore sudden thing happen fun hahahahahaha,Non-Suicide
1541,Funny how Im on a lookout for it these past few days only for it to present itself to me and catching me off-guard,Funny how Im on a lookout for it these past few days only for it to present itself to me and catching me off-guard,funny how im lookout past few day only present catch guard,Non-Suicide
1542,In another life i will be happy,In another life i will be happy,another life happy,Possible Suicidal Post
1543,I wish you where here to support,I wish you where here to support,wish where support,Possible Suicidal Post
1544,Take away everything from me,Take away everything from me,take away everything,Possible Suicidal Post
1545,Nasaktan ako sobra sa sinabi mo,I was hurt too much by what you said,hurt much what say,Possible Suicidal Post
1546,hirap,hard,hard,Possible Suicidal Post
1547,Ill definitely miss it,Ill definitely miss it,ill definitely miss,Non-Suicide
1548,Thats such a weird dream Ive had of you. I dont even know why you are there and what the me is doing and feeling in that dream,Thats such a weird dream Ive had of you. I dont even know why you are there and what the me is doing and feeling in that dream,thats weird dream ive dont even know why what feel dream,Non-Suicide
1549,Thats 4 times in a row. I wonder what that means,Thats 4 times in a row. I wonder what that means,thats time row wonder what mean,Non-Suicide
1550,Genshin just gave me the worst Abyss experience ever. Why the heck does one enemy need three different elements to defeat? Just why? ??,Genshin just gave me the worst Abyss experience ever. Why the heck does one enemy need three different elements to defeat? Just why? ??,genshin give bad abyss experience ever why heck one enemy need three different element defeat why,Non-Suicide
1551,"When it comes to things I have to remember, I just cant. On the other hand, I cant not remember things I want to forget, smh","When it comes to things I have to remember, I just cant. On the other hand, I cant not remember things I want to forget, smh",come thing remember cant hand cant not remember thing want forget smh,Non-Suicide
1552,wow ganda ng mga sub ngayong sem halatang wala akong karapatan mag pahinga,"wow, the subs are great this sem, obviously I have no right to rest",wow sub great sem obviously no right rest,Possible Suicidal Post
1553,sige kape hangang hindi namamatay,go ahead and drink coffee until you die,go ahead drink coffee die,Possible Suicidal Post
1554,alam ko namang kakayanin ko pero syempre iiyak muna ako,I know I can handle it but of course I will cry first,know handle course cry first,Possible Suicidal Post
1555,a looooooOooong hug is needed.,a looooooOooong hug is needed.,loooooooooong hug need,Possible Suicidal Post
1556,acad break pls!!!,acad break pls!!!,acad break pls,Possible Suicidal Post
1557,My dreams havent done anything but scare me nowadays,My dreams havent done anything but scare me nowadays,dream havent do anything scare nowadays,Non-Suicide
1558,"No matter what may come, being the RL that I am, I will always greet it with a smile and enthusiasm ??","No matter what may come, being the RL that I am, I will always greet it with a smile and enthusiasm ??",no matter what may come rl always greet smile enthusiasm,Non-Suicide
1559,"The longer I delay, the longer I can hold on to the blind hope that I can stay. I want to, but perhaps a new chapter has already been written for me to take part on.","The longer I delay, the longer I can hold on to the blind hope that I can stay. I want to, but perhaps a new chapter has already been written for me to take part on.",long delay long hold blind hope stay want perhaps new chapter already write take part,Non-Suicide
1560,"They say, the sooner the better, but Id say thats not always the case. Learning things sooner wont really make it easier and faster to accept it.","They say, the sooner the better, but Id say thats not always the case. Learning things sooner wont really make it easier and faster to accept it.",say sooner good id say thats not always case learn thing sooner wont really make easy faster accept,Non-Suicide
1561,Love of my life,Love of my life,love life,Non-Suicide
1562,"The rain be angel in disguise. Hindi na nga makababa ng hagdan, paano pa kaya kung magbike ??","The rain is an angel in disguise. Can't go down the stairs anymore, how about riding a bike??",rain angel disguise not go down stair anymore how rid bike,Non-Suicide
1563,"GgEz gym. Enjoy now, iyak later sa sobrang sakit ng katawan","GgEz gym. Enjoy now, cry later because the body hurts so much",ggez gym enjoy cry later because body hurt much,Non-Suicide
1564,My dreams either show me what I love or what I fear the most,My dreams either show me what I love or what I fear the most,dream either show what love what fear most,Non-Suicide
1565,I am not yet prepared and will never be prepared for that to happen,I am not yet prepared and will never be prepared for that to happen,not yet prepare never prepare happen,Non-Suicide
1566,"You be gone for 5 days, even ran an errand yet didnt even said your goodbye before you go. Meh as if I care that much either way","You be gone for 5 days, even ran an errand yet didnt even said your goodbye before you go. Meh as if I care that much either way",go day even run errand yet didnt even say goodbye before go meh care much either way,Non-Suicide
1567,"He be gone for 5 days, even made me do an errand for him yet he didnt even said his goodbye before he went. Meh as if I care that much","He be gone for 5 days, even made me do an errand for him yet he didnt even said his goodbye before he went. Meh as if I care that much",go day even make errand yet didnt even say goodbye before go meh care much,Non-Suicide
1568,Pool Frisbee would never be this fun if its not with them,Pool Frisbee would never be this fun if its not with them,pool frisbee never fun not,Non-Suicide
1569,Another day well spent with the homies ??,Another day well spent with the homies ??,another day well spend homies,Non-Suicide
1570,"Vibes are realized and noticed. I can feel when you dont care for me, I can feel when you dont like me 4real, I can feel everything. I can feel when the energy is forced so we dont have to pretend. I rather not...I can love you and care for you from a distance. Normalize (1/2)","Vibes are realized and noticed. I can feel when you dont care for me, I can feel when you dont like me 4real, I can feel everything. I can feel when the energy is forced so we dont have to pretend. I rather not...I can love you and care for you from a distance. Normalize (1/2)",vibe realize notice feel dont care feel dont like real feel everything feel energy force dont pretend rather not love care distance normalize,Non-Suicide
1571,I knew I shouldnt play those songs yet I still did. Now Im filled with conflicting emotions again,I knew I shouldnt play those songs yet I still did. Now Im filled with conflicting emotions again,know shouldnt play song yet still im fill conflict emotion,Non-Suicide
1572,Love is such a roller coaster ride,Love is such a roller coaster ride,love roller coaster ride,Non-Suicide
1573,"I guess 8 days is all it takes if you know what youre doing. The past me took 3 months, LMFAO","I guess 8 days is all it takes if you know what youre doing. The past me took 3 months, LMFAO",guess day all take know what youre past take month lmfao,Non-Suicide
1574,"Not a person, not an animal, but a thing. A thing thats kept me sane during the whole time of pandemic","Not a person, not an animal, but a thing. A thing thats kept me sane during the whole time of pandemic",not person not animal thing thing thats keep sane whole time pandemic,Non-Suicide
1575,Stories about friendships always give me goosebumps the most,Stories about friendships always give me goosebumps the most,story friendship always give goosebumps most,Non-Suicide
1576,"Pag hindi na talaga bumukas nanaman PC ko, magcacry ako","When my PC won't turn on at all, I cry",pc not turn all cry,Non-Suicide
1577,gusto ko na matulog pero parang di ko deserve kahit pumikit hahahahaba,I want to sleep but I don't feel like I deserve to even close my eyes hahahaha,want sleep not feel like deserve even close eye hahahaha,Possible Suicidal Post
1578,syimpre magrrant nanamn ako kasi di ko masolve yung prob potangjna hahahahahauwbxwknx kbye,Of course I'm going to complain because I can't solve the problem hahahahahaauwbxwknx kbye,course go complain because not solve problem hahahahahaauwbxwknx kbye,Possible Suicidal Post
1579,babaw mo  haha mamaya na,you're shallow haha ​​it's later,shallow haha later,Possible Suicidal Post
1580,potangina talaga,really potangina,really potangina,Possible Suicidal Post
1581,tanginang buhay to,only life,only life,Possible Suicidal Post
1582,"Grabe namang kidlat yan, 1 weeks worth ata yun eh, kala mo may nag air bombing","That's a lot of lightning, that's 1 weeks worth, when you have air bombing",lot lightning week worth air bomb,Non-Suicide
1583,When shall me meet again after parting? For life is like the morning dew.  -Hanachirusato,When shall me meet again after parting? For life is like the morning dew.  -Hanachirusato,meet after part life like morning dew hanachirusato,Non-Suicide
1584,"It all went to drain once more, buti nalang nagpapakaresilient na tayo kunyare","It all went to drain once more, it's good that we are becoming more resilient",all go drain once more good become more resilient,Non-Suicide
1585,I hope it never ends,I hope it never ends,hope never end,Non-Suicide
1586,"Twitter umayos ka, saya-saya ko tinatype tweet ko tapos magfoforce close ka bigla, balik mo tinype ko, HAHAHAHAHA","Twitter fix it, I was having fun typing my tweet and then you force close suddenly, go back to my typing, HAHAHAHAHA",twitter fix fun type tweet force close suddenly go back type hahahahaha,Non-Suicide
1587,wala akong masabi,I'm speechless,speechless,Possible Suicidal Post
1588,pano nga ba mag open up?,how to open up?,how open up,Possible Suicidal Post
1589,onting appreciation man lang :))),at least some appreciation :))),least appreciation,Possible Suicidal Post
1590,kelan ba naging enough sainyo mga ginagawa ko???,when did what I do become enough for you???,what become enough,Possible Suicidal Post
1591,napaka hina ng katawan ko nakakainis,my body is so weak it's annoying,body weak annoy,Possible Suicidal Post
1592,Its fun to wander through the alphabet with you to tell you what you mean to me~  -Chevy,Its fun to wander through the alphabet with you to tell you what you mean to me~  -Chevy,fun wander alphabet tell what mean chevy,Non-Suicide
1593,"The second I woke up, an earthquake happened, nice","The second I woke up, an earthquake happened, nice",second wake up earthquake happen nice,Non-Suicide
1594,"How did I even forget that it is with you that I got to meet some of the best people of my life, and even better, the best freaking friend in this entire universe","How did I even forget that it is with you that I got to meet some of the best people of my life, and even better, the best freaking friend in this entire universe",how even forget get meet best people life even good best freaking friend entire universe,Non-Suicide
1595,My dreams do be satisfying inner child by giving me the superpower I like the most HAHAHAHAHAHAHAHA,My dreams do be satisfying inner child by giving me the superpower I like the most HAHAHAHAHAHAHAHA,dream satisfy inner child give superpower like most hahahahahahahaha,Non-Suicide
1596,"AAAAAAAAAAAA so precious indeed, I hope you could just be like that","AAAAAAAAAAAA so precious indeed, I hope you could just be like that",aaaaaaaaaaaa precious indeed hope like,Non-Suicide
1597,hindi ko alam anong pahinga gagawin ko para matapos na lahat to,I don't know what kind of break I'll take to end it all,not know what kind break take end all,Possible Suicidal Post
1598,physically and emotionally tired,physically and emotionally tired,physically emotionally tire,Possible Suicidal Post
1599,"lorddd, hindi nga po ko isa sa mmga strongest soldier mo","lorddd, I'm not one of your strongest soldiers",lorddd not one strong soldier,Possible Suicidal Post
1600,kung ano ano nangyayari sa buhay ko lately,what's going on in my life lately,what go life lately,Possible Suicidal Post
1601,nasusuka ako pag nabubusog,I feel sick when I'm full,feel sick full,Possible Suicidal Post
1602,"How I wish to be there to protect you, as much as youve been here for me","How I wish to be there to protect you, as much as youve been here for me",how wish protect much youve,Non-Suicide
1603,I really went from being fan of romance shows into action shows nowadays,I really went from being fan of romance shows into action shows nowadays,really go fan romance show action show nowadays,Non-Suicide
1604,"Snake Eyes do be my favorite movie from now on. I can watch it all day, oh my Lord","Snake Eyes do be my favorite movie from now on. I can watch it all day, oh my Lord",snake eye favorite movie watch all day oh lord,Non-Suicide
1605,At least I did discover something good I normally wouldnt during my time at my Titas house,At least I did discover something good I normally wouldnt during my time at my Titas house,least discover something good normally wouldnt time titas house,Non-Suicide
1606,I wish I could tell you how the MC on the show I am watching looks like your brother,I wish I could tell you how the MC on the show I am watching looks like your brother,wish tell how mc show watch look like brother,Non-Suicide
1607,"sana friend mo nalang ako, para may oras ka din sakin","I hope I'm just your friend, so you can have time for me too",hope friend time,Possible Suicidal Post
1608,Kawawa sayo doble pagod.,"Poor you, double tired.",poor double tire,Possible Suicidal Post
1609,Matulog nalang ng matulog,Just sleep and sleep,sleep sleep,Possible Suicidal Post
1610,"ang bobo ko, opo.","I'm stupid, yes.",stupid yes,Possible Suicidal Post
1611,Alam mo yung feeling na bawat pihit mo ng katawan mo may tumutunog na buto huhu,You know the feeling that every time you turn your body there is a ringing bone huhu,know feeling every time turn body ring bone huhu,Possible Suicidal Post
1612,Karaoke session with cousins sheeesh,Karaoke session with cousins sheeesh,karaoke session cousin sheeesh,Non-Suicide
1613,"Yung beach vacation na nauwi sa house staycation dahil sa nonstop na ulan, kagalengg ????","The beach vacation that turned into a house staycation because of the nonstop rain, how cool????",beach vacation turn house staycation because nonstop rain how cool,Non-Suicide
1614,"With a healthy family, you also get a healthy mindset, something I lack","With a healthy family, you also get a healthy mindset, something I lack",healthy family also get healthy mindset something lack,Non-Suicide
1615,anlakas na ng ulan buti tapos na muna prusisyon,"it's raining heavily, but the procession is over first",rain heavily procession over first,Non-Suicide
1616,aga aga ang harot ng person na ituu,morning morning the person ituu is annoying,morning morning person ituu annoy,Non-Suicide
1617,mas magaan ang lahat nung andito ka :))),everything was easier when you were here :))),everything easy,Possible Suicidal Post
1618,"ang daling tulungan ng iba, pero ang hirap tulungan ng sarili ","it's easy to help others, but it's hard to help yourself",easy help others hard help,Possible Suicidal Post
1619,saksakin niyo nga ko,stab me,stab,Possible Suicidal Post
1620,kaso nawala ka agad,case you disappeared immediately,case disappear immediately,Possible Suicidal Post
1621,may part sakin na namimiss ka :((,there's a part of me that misses you :((,part miss,Possible Suicidal Post
1622,Di ko na sya masisilayan hahaha,I can't look at him anymore hahaha,not look anymore hahaha,Non-Suicide
1623,rapsa nanaman 4days alang pasok hehe,It's about 4 days for school hehe,day school hehe,Non-Suicide
1624,me most of the time ???????,me most of the time ???????,most time,Non-Suicide
1625,"??Camp Kainomayan - Botolan, Zambales","??Camp Kainomayan - Botolan, Zambales",camp kainomayan botolan zambales,Non-Suicide
1626,nakakaexcite ng friday ngayon ala kasing pasok tomorrow haha,"today's friday is exciting, it's like school tomorrow haha",today friday excite like school tomorrow haha,Non-Suicide
1627,nakakainis kayong lahat period,you're all annoying period,all annoying period,Possible Suicidal Post
1628,yawq na invite mo na ko sa bday mo Lordd,yawq you invited me to your bday Lordd,yawq invite bday lordd,Possible Suicidal Post
1629,hindi ko alam bat ako nasasaktan,I don't know if I'm hurt,not know hurt,Possible Suicidal Post
1630,bakit ang lungkot naiiyak ako potaaa,Why is sadness making me cry?,why sadness make cry,Possible Suicidal Post
1631,GUSTO KO NA NAMAN MAGDEACT WTF ,I WANT TO DEACT AGAIN WTF,want deact wtf,Possible Suicidal Post
1632,when someone says to me i bought this because i know that you like it,when someone says to me i bought this because i know that you like it,someone say buy because know like,Non-Suicide
1633,its me and my procastination against the world,its me and my procastination against the world,procastination against world,Non-Suicide
1634,10hrs of sleep ngayon araw bawing bawi yung puyat kagabi haha,10hrs of sleep today to make up for last night's sleep haha,hr sleep today make up last night sleep haha,Non-Suicide
1635,Time checked: 4:25 AM  Kauwi lang ng mautong accla HAHAHAAH salamat @Adadieee pinakilig mo kami kanina pero literal na inumaga kami ng uwi dahil alang masakyan awit HAAHAHAHAH #AdieInZambales #DinamulagFestival2023,Time checked: 4:25 AM Just got home from the moutong accla HAHAHAAH thank you @Adadieee you thrilled us earlier but we literally had to go home in the morning because it was a ride song HAAHAHAHAH #AdieInZambales #DinamulagFestival2023,time check get home moutong accla hahahaah thank thrill u earlier literally go home morning because ride song haahahahah adieinzambales dinamulagfestival,Non-Suicide
1636,may mga pinsan talaga tayo na mas kilig pa sa lovelife natin ??,do we really have cousins ​​who are more excited than our love life??,really cousin who more excited than love life,Non-Suicide
1637,Ayaw tumigil ng utak ko kakaisip,My brain doesn't want to stop thinking,brain not want stop thinking,Possible Suicidal Post
1638,Sakit na ng ulo ko kakatulog,I have a headache when I fall asleep,headache fall asleep,Possible Suicidal Post
1639,Lol Ive been doing nothing since morning,Lol Ive been doing nothing since morning,lol ive nothing since morning,Possible Suicidal Post
1640,Not in a mood to do anything,Not in a mood to do anything,not mood anything,Possible Suicidal Post
1641,Grabe naman kasama kong nagpapatugtog mlaungkot ata,It's really sad to play with me,really sad play,Possible Suicidal Post
1642,"mute muna tayo ng notifs sa messenger jusko as of today, di na natigil messages ng mga students hahaha di na po office hours i have a life too po??","Let's first mute notifications on messenger just as of today, messages from students are no longer stopped hahaha it's not office hours anymore I have a life too po??",let first mute notification messenger today message student no longer stop hahaha not office hour anymore life po,Non-Suicide
1643,buti pa nanay ko magbabaguio!! awit maiwan akoooo,"I'm still a good mom, I'm going to change!! song leave me",still good mom go change song leave,Non-Suicide
1644,naol pupuntang baguio ??,naol going to baguio??,naol go baguio,Non-Suicide
1645,"ewww, pinapangatawan pagiging toxic! HAHAHAHHA","ewww, being toxic is represented! HAHAHAHA",ewww toxic represent hahahaha,Non-Suicide
1646,"yabang naman nong story ni alexis, humble lang tayo be HAHAHAHHA","Alexis' story is arrogant, let's just be humble HAHAHAHHA",alexis story arrogant let humble hahahahha,Non-Suicide
1647,"pero ginusto ko to, kaya papanindigan kooo","but I like it, so I'll stand by it",like stand,Possible Suicidal Post
1648,ewan ko ba naman sainyo bakit kayo ganyan,I don't know why you are like that,not know why like,Possible Suicidal Post
1649,will never be a backburner girl again :)),will never be a backburner girl again :)),never backburner girl,Possible Suicidal Post
1650,been strong for so long,been strong for so long,strong long,Possible Suicidal Post
1651,nalulungkot ako hahahaaha,I'm sad hahahaha,sad hahahaha,Possible Suicidal Post
1652,BASTA DESERVE KO MAG SAMGYUP!,AS LONG AS I DESERVE TO BE SAMGYUP!,long deserve samgyup,Non-Suicide
1653,"red flag, di nasunod sa time huhuhu. Chariz, basta po akin na to ha HAHAHAH","red flag, it was not followed on time huhuhu. Chariz, it's all mine HAHAHAH",red flag not follow time huhuhu chariz all mine hahahah,Non-Suicide
1654,sa’kin na po ‘to please! ??,it's mine please! ??,mine please,Non-Suicide
1655,gandang ganda ako sa bag ko from Parisian ahahahah,I look beautiful in my bag from Parisian ahahahah,look beautiful bag parisian ahahahah,Non-Suicide
